machine	interior	overflow	alphabet	blocker
0RB---_1LC1RB_0RB1LD_1LA0LC	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB---_1RC1LD_0LD0RC_1LB1LA	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
0RB0LA_0LC1RD_0RD1LC_1LA1RB	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
0RB0LA_1LA0LC_0RD1LC_1RB1RD	QUAD	QUAD	Kp	no interior chain
0RB0LA_1LA0RC_0LD1RC_1RB1LD	QUAD	QUAD	Kp	no interior chain
0RB0LA_1LA1LC_0RD0LC_1RD1RB	QUAD	QUAD	Kp	no interior chain
0RB0LA_1LA1RC_0LD0RC_1LD1RB	QUAD	QUAD	Kp	no interior chain
0RB0LA_1LA1RC_0LD1RB_0RC1LD	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
0RB0LA_1LA1RC_0RD1RD_1LB0LB	EXP4	EXP4	Dp	no interior chain
0RB0LA_1LA1RC_1LD1RB_0RB1LD	QUAD	QUAD	Alph_00_10_1	no interior chain
0RB0LA_1LA1RC_1LD1RB_0RC1LD	QUAD	QUAD	Bp	no interior chain
0RB0LA_1LC1RD_0RB1LC_1LA1RB	QUAD	QUAD	Bp	no interior chain
0RB0LA_1LC1RD_0RD0LC_1RB1LA	AFFINE	HIGHER	Alph_00_01_1	no boot chain
0RB0LA_1LC1RD_0RD1LC_1LA1RB	QUAD	QUAD	Bp	no interior chain
0RB0LA_1RC1LA_1LD1RB_0RC0LD	AFFINE	HIGHER	Alph_00_01_1	no inner interior chain
0RB0LA_1RC1LA_1RD0RD_1LB0LB	EXP4	EXP4	Dp	no interior chain
0RB0LA_1RC1LB_1LA0RD_0LB1RD	QUAD	QUAD	Kp	no interior chain
0RB0LA_1RC1RB_1LA0LD_0RB1LD	QUAD	QUAD	Kp	no interior chain
0RB0LB_1LC1RD_0RD0LC_1RB1LA	AFFINE	HIGHER	Alph_00_01_1	no inner family at pow2 j
0RB0LC_1LA1RB_0RD0LA_1RD1LC	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
0RB0LC_1LA1RC_1RB0LD_0RB1LD	AFFINE	EXP2	Jp	no inner family at pow2 j
0RB0LC_1LC1LB_0RD1LA_1LC1RD	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB0LC_1LC1RB_0LD1LA_1RA0RC	AFFINE	EXP2	Alph_01_11_011	no interior chain
0RB0LC_1LC1RB_0RD0LA_1RD1LA	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
0RB0LC_1LC1RB_0RD1LA_1LB1LA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_0RD1LA_1LB1RB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_0RD1LA_1LB1RD	AFFINE	EXP2	Alph_10_11_11	no inner family at pow2 j
0RB0LC_1LC1RB_0RD1LA_1RD1RB	AFFINE	EXP2	Alph_10_11_11	no inner interior chain
0RB0LC_1LC1RB_1LD1LA_0RD1RA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1LD1LA_1RD0RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_0LD1LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB0LA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB0LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB0LC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB0RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB1LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB1LC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB1RB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB1RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC0LA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC0LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC0LC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC0RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC1LA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC1LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC1LC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC1RB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC1RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC1RD	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LD1LA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LD1LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LD1RB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB0LA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB0LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB0LC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB0LD	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB0RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB0RD	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB1LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB1LC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB1RB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB1RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RD1LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RD1RB	-	no-anchor	-	no overflow phase at K=6
0RB0LD_0RC1LB_1LA1RD_1RC0LB	AFFINE	EXP2	Jp	no inner family at pow2 j
0RB0LD_1LA1LC_0LD0LC_1RD1RB	-	no-anchor	-	no anchor
0RB0LD_1LC1RD_0RD0LC_1RB1LA	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
0RB0LD_1RC1LB_1LD1RC_0RC1LA	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB0LD_1RC1RB_1LD1RC_0RC1LA	AFFINE	EXP2	Alph_01_11_011	no boot chain
0RB0RA_0LC0LD_1RB1LC_1LD1RA	QUAD	QUAD	Kp	no interior chain
0RB0RA_1RC1LD_1LC1RB_0LD0LA	EXP3	EXP3	Alph_11_00_1	no interior chain
0RB0RA_1RC1LD_1LD1RB_0LD0LA	EXP3	EXP3	Alph_11_00_1	no interior chain
0RB0RB_1LA1LC_0LD0LC_1RD1RB	-	no-anchor	-	no anchor
0RB0RC_1LA1RB_1RC1LD_0LA0LD	QUAD	QUAD	Kp	no interior chain
0RB0RC_1LC0LB_0LD1RA_1RC1LD	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB0RC_1LC0LC_0LD1RA_1RC1LD	AFFINE	EXP2	Alph_01_11_011	no boot chain
0RB0RC_1LC0LD_0LD1RA_1RC1LD	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB0RC_1LC0RD_0LD1RA_1RC1LD	-	no-anchor	-	no overflow phase at K=6
0RB0RC_1LC1RB_0LD1RA_1RC1LD	-	no-anchor	-	no overflow phase at K=6
0RB0RC_1LC1RD_0LD1RA_1RC1LD	-	no-anchor	-	no overflow phase at K=6
0RB0RC_1RC0LA_1LD1RB_0LD1LA	AFFINE	AFFINE	Dp	no interior chain
0RB0RD_1LA1RC_1RD1LC_0LC1RA	-	no-anchor	-	no overflow phase at K=6
0RB0RD_1LC1RB_1RA0LC_1LB0LC	-	no-anchor	-	no anchor
0RB0RD_1LC1RB_1RA0LC_1LD0LC	-	no-anchor	-	no anchor
0RB0RD_1RC---_1RD1LC_0LC1RA	-	no-anchor	-	no overflow phase at K=6
0RB1LA_0LC1RD_0LD1LD_1RB0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LA_0LC1RD_0RD1LD_1RB0LA	AFFINE	EXP2	Jp	no second exit chain
0RB1LA_0LC1RD_1LA1LD_1RB0LA	AFFINE	EXP2	Jp	no exit chain
0RB1LA_0LC1RD_1LD0RB_1RB0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LA_0LC1RD_1LD1LD_1RB0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LA_0LC1RD_1RB1LD_1RB0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LA_0LC1RD_1RD1LD_1RB0LA	AFFINE	EXP2	Jp	no exit chain
0RB1LA_1LA1LC_0LD0LC_1RD1RB	-	no-anchor	-	no anchor
0RB1LA_1LA1RC_1LD1RB_0RB0LD	QUAD	QUAD	Alph_00_10_1	no interior chain
0RB1LA_1LA1RC_1LD1RB_0RC0LD	QUAD	QUAD	Bp	no interior chain
0RB1LA_1LC1RB_0RB1LD_1RA0LC	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LA_1LC1RB_1RD0LA_0LB0RD	QUAD	QUAD	Kp	no interior chain
0RB1LA_1LC1RB_1RD0LA_0LC0RD	QUAD	QUAD	Kp	no interior chain
0RB1LA_1LC1RD_0RA0LD_1RB0LA	AFFINE	EXP2	Jp	no inner family at pow2 j
0RB1LA_1LC1RD_0RA1LD_1RB0LA	AFFINE	EXP2	Jp	no inner family at pow2 j
0RB1LA_1LC1RD_0RB0LC_1LA1RB	QUAD	QUAD	Alph_00_10_1	no interior chain
0RB1LA_1LC1RD_0RB0LD_1RB0LA	AFFINE	EXP2	Jp	no inner family at pow2 j
0RB1LA_1LC1RD_0RB1LD_1RB0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LA_1LC1RD_0RD0LC_0LA1RB	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
0RB1LA_1LC1RD_0RD0LC_1LA1RB	QUAD	QUAD	Bp	no interior chain
0RB1LA_1LC1RD_1LA1LD_1RB0LA	AFFINE	EXP2	Jp	no exit chain
0RB1LA_1LC1RD_1LD1RC_1RB0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LA_1LC1RD_1RA1LD_1RB0LA	AFFINE	EXP2	Jp	no exit chain
0RB1LA_1LC1RD_1RA1RC_1RB0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LA_1LC1RD_1RB0LD_1RB0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LA_1LC1RD_1RD1LD_1RB0LA	AFFINE	EXP2	Jp	no boot chain
0RB1LA_1RC0LA_0LD1RB_---1LB	AFFINE	EXP2	Jp	no exit chain
0RB1LA_1RC0LA_0LD1RB_1LB0RC	AFFINE	EXP2	Jp	no exit chain
0RB1LA_1RC0LA_0RD1RB_1LD0LB	AFFINE	EXP2	Jp	no inner family at pow2 j
0RB1LA_1RC0LA_0RD1RB_1LD1LB	-	no-anchor	-	no overflow phase at K=6
0RB1LA_1RC0LA_1LD1RB_---1LB	AFFINE	EXP2	Jp	no exit chain
0RB1LA_1RC0LA_1LD1RB_1LB1LD	-	no-anchor	-	no overflow phase at K=6
0RB1LA_1RC0LA_1LD1RB_1LB1RD	-	no-anchor	-	no overflow phase at K=6
0RB1LA_1RC0LA_1RD1RB_1LB0RD	-	no-anchor	-	no overflow phase at K=6
0RB1LA_1RC0LA_1RD1RB_1LB1LD	-	no-anchor	-	no overflow phase at K=6
0RB1LA_1RC0LA_1RD1RB_1LB1RB	-	no-anchor	-	no overflow phase at K=6
0RB1LA_1RC0LA_1RD1RB_1LB1RD	-	no-anchor	-	no overflow phase at K=6
0RB1LA_1RC1LB_0LB1RD_1LA0RC	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LA_1RC1RB_1LD0LA_0RB0LD	QUAD	QUAD	Kp	no interior chain
0RB1LA_1RC1RB_1LD0LA_0RC0LD	QUAD	QUAD	Kp	no interior chain
0RB1LA_1RC1RD_1LD0RC_1RB0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LA_1RC1RD_1LD1RC_1RB0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LA_1RC1RD_1LD1RD_1RB0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LB_1LC1RB_0RB1LD_1RA0LC	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LB_1LC1RC_1RD0LA_0RC1RB	-	no-anchor	-	no anchor
0RB1LB_1RC0LD_0LA1RB_0RB1LD	AFFINE	EXP2	Jp	no exit chain
0RB1LB_1RC0LD_0LA1RB_0RC1LD	AFFINE	EXP2	Jp	no second exit chain
0RB1LB_1RC0LD_1LA1RB_0RB1LD	AFFINE	EXP2	Jp	no exit chain
0RB1LB_1RC1LB_0LB1RD_1LA0RC	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_0LC1RB_1RD1LA_0LA0RD	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
0RB1LC_0LC1RC_1LA0RD_0LA1RD	AFFINE	EXP2	Jp	no second exit chain
0RB1LC_0LC1RC_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
0RB1LC_0LC1RD_1RB1LC_1LA0RB	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_0RC1LB_1RD0LB_0LA1RC	AFFINE	EXP2	Jp	no exit chain
0RB1LC_0RC1LB_1RD0LB_1LA1RC	AFFINE	EXP2	Jp	no exit chain
0RB1LC_0RC1LD_1LB1RC_1RA0LB	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_0RC1RC_1LA0RD_0LA1RD	-	no-anchor	-	no overflow phase at K=6
0RB1LC_0RC1RC_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
0RB1LC_1LA1RB_0LD0LA_1LB---	-	no-anchor	-	no overflow phase at K=6
0RB1LC_1LA1RB_0LD0LA_1RA0LB	-	no-anchor	-	no overflow phase at K=6
0RB1LC_1LA1RB_0LD0LA_1RA0RA	AFFINE	EXP2	Alph_01_11_011	no boot chain
0RB1LC_1LA1RB_0LD0LA_1RA0RB	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_0LD0LA_1RA0RD	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_0LD0LA_1RA1LB	-	no-anchor	-	no overflow phase at K=6
0RB1LC_1LA1RB_0LD0LA_1RA1LD	-	no-anchor	-	no overflow phase at K=6
0RB1LC_1LA1RB_0LD0LA_1RC1LB	-	no-anchor	-	no overflow phase at K=6
0RB1LC_1LA1RB_0LD0LA_1RD0RB	-	no-anchor	-	no overflow phase at K=6
0RB1LC_1LA1RB_0RD0LA_1LA1LD	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_0RD0LA_1LB0RD	AFFINE	EXP2	Alph_01_11_011	no boot chain
0RB1LC_1LA1RB_0RD0LA_1RB1LD	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_0RD0LA_1RB1RD	AFFINE	EXP2	Alph_01_11_011	no boot chain
0RB1LC_1LA1RB_0RD0LC_1RD0LA	QUAD	QUAD	Kp	no interior chain
0RB1LC_1LA1RB_1LD0LA_0RB---	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_1LD0LA_0RD1LA	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_1LD0LA_0RD1RB	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_1LD0LA_1LB---	-	no-anchor	-	no overflow phase at K=6
0RB1LC_1LA1RB_1LD0LA_1RD0RB	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_1LD0LA_1RD0RC	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_1RD0LA_---1LB	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_1RD0LA_---1RB	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_1RD0LA_0LB1RD	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_1RD0LA_0RB1LD	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_1RD0LA_1LA1RD	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_1RD0LA_1LB1LD	-	no-anchor	-	no overflow phase at K=6
0RB1LC_1LA1RB_1RD0LA_1LB1RD	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RB_1RD0LA_1RB1RD	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LC_1LA1RC_1LA0RD_0LA1RD	-	no-anchor	-	no overflow phase at K=6
0RB1LC_1LA1RC_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
0RB1LC_1LA1RC_1RB0LD_0RB1LD	-	no-anchor	-	no overflow phase at K=6
0RB1LC_1LA1RC_1RB0LD_0RC1LD	AFFINE	EXP2	Jp	no exit chain
0RB1LC_1LC0LC_0RD1LA_1RD1RB	HIGHER	HIGHER	Alph_11_00_1	no interior chain
0RB1LC_1LC0RD_1RD0LC_1LA1RB	-	no-anchor	-	no anchor
0RB1LC_1LC1RC_1LA0RD_0LA1RD	AFFINE	EXP2	Jp	no exit chain
0RB1LC_1LC1RC_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
0RB1LC_1LC1RD_1LA0LC_0RD1RB	-	no-anchor	-	no anchor
0RB1LC_1RC0LA_1LA0RD_0LA1RD	-	no-anchor	-	no overflow phase at K=6
0RB1LC_1RC0LA_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
0RB1LC_1RC1RC_1LA0RD_0LA1RD	-	no-anchor	-	no overflow phase at K=6
0RB1LC_1RC1RC_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
0RB1LD_0LC1RD_0LD1RC_1LA0RC	AFFINE	EXP2	Jp	no exit chain
0RB1LD_0RC1LB_1LA1RD_1RC0LB	AFFINE	EXP2	Jp	no inner family at pow2 j
0RB1LD_0RC1RD_0LD1RC_1LA0RC	AFFINE	EXP2	Jp	no exit chain
0RB1LD_1LA0RC_0LD1RB_1RC1LD	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1LD_1LA1RC_1RB0RC_0LD0LA	AFFINE	AFFINE	Dp	no interior chain
0RB1LD_1LC1LD_1LA1RC_0RC0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LD_1LC1RB_1LA1RC_0RC0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LD_1LC1RC_1LA1RC_0RC0LA	-	no-anchor	-	no overflow phase at K=6
0RB1LD_1LC1RD_0LD1RC_1LA0RC	AFFINE	EXP2	Jp	no exit chain
0RB1LD_1RC1RD_0LA1RC_1LA0RC	AFFINE	EXP2	Jp	no exit chain
0RB1LD_1RC1RD_0LD1RC_1LA0RC	AFFINE	EXP2	Jp	no exit chain
0RB1RB_1LC0RD_0RA1LB_0LB1RD	AFFINE	EXP2	Jp	no exit chain
0RB1RB_1LC0RD_0RA1LB_0LC1RD	-	no-anchor	-	no overflow phase at K=6
0RB1RB_1LC0RD_1RA1LB_0LB1RD	AFFINE	EXP2	Jp	no exit chain
0RB1RB_1LC1RB_0RB1LD_1RA0LC	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1RB_1LC1RD_0RD0LC_1RB1LA	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
0RB1RB_1RC1LB_0LB1RD_1LA0RC	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1RC_0LC---_0LD0RA_1RA1LD	AFFINE	EXP2	Alph_01_11_011	no interior chain
0RB1RC_0LC1RB_1LD0RB_0RA1LC	AFFINE	EXP2	Jp	no exit chain
0RB1RC_0LC1RB_1LD0RB_1RA1LC	AFFINE	EXP2	Jp	no exit chain
0RB1RC_0LC1RD_1RB1LC_1LA0RB	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1RC_0RC1LD_1LB1RC_1RA0LB	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB1RC_1LA0LC_0LD0RA_1RA1LD	AFFINE	EXP2	Alph_01_11_011	no interior chain
0RB1RC_1LC0LA_0LD0RA_1RA1LD	AFFINE	EXP2	Alph_01_11_011	no interior chain
0RB1RC_1RC0LB_0RD0RC_1LD1LA	-	no-anchor	-	no anchor
0RB1RD_1LA0RC_0LD1RB_1RC1LD	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB---_0LB1RC_0RD0RC_1LB1LD	EXP3	EXP3	Alph_00_10_1	no interior chain
1RB---_0LB1RC_1LB0RD_1LB0RC	AFFINE	AFFINE	Kp	no interior chain
1RB---_0LB1RC_1LB0RD_1LC0RC	EXP3	EXP3	Bp	no interior chain
1RB---_0LB1RC_1LB0RD_1LC0RD	HIGHER	HIGHER	Dp	no interior chain
1RB---_0LB1RC_1LD0RC_1LB1RC	HIGHER	HIGHER	Dp	no interior chain
1RB---_0LC1RB_0LB1RD_1LC0RD	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
1RB---_0LC1RD_0LB1RC_1LB0RD	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
1RB---_0LC1RD_0LB1RD_1LB0RD	AFFINE	AFFINE	Kp	no interior chain
1RB---_0LC1RD_0LB1RD_1LC0RD	AFFINE	AFFINE	Kp	no interior chain
1RB---_0LC1RD_1LB1RC_1LB0RD	HIGHER	HIGHER	Ip	no interior chain
1RB---_0LC1RD_1LB1RD_1LB0RD	HIGHER	HIGHER	Ip	no interior chain
1RB---_0RC0RB_1LD1LC_0LD1RB	EXP3	EXP3	Alph_00_10_1	no interior chain
1RB---_1LC0RB_0LD1RB_0LC1RB	AFFINE	AFFINE	Kp	no interior chain
1RB---_1LC0RB_0LD1RB_0LC1RD	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
1RB---_1LC0RB_0LD1RB_1LC1RB	HIGHER	HIGHER	Ip	no interior chain
1RB---_1LC0RB_0LD1RB_1LC1RD	HIGHER	HIGHER	Ip	no interior chain
1RB---_1LC0RB_1LD1RB_0LD1RB	HIGHER	HIGHER	Dp	no interior chain
1RB---_1LC0RB_1LD1RB_1LC1RB	-	no-anchor	-	no anchor
1RB---_1LC0RD_0LC1RB_1LB0RB	EXP3	EXP3	Bp	no interior chain
1RB---_1LC0RD_0LC1RB_1LB0RD	HIGHER	HIGHER	Dp	no interior chain
1RB---_1LC0RD_0LC1RB_1LC0RB	AFFINE	AFFINE	Kp	no interior chain
1RB---_1LC0RD_0LC1RD_1LC0RB	AFFINE	AFFINE	Kp	no interior chain
1RB---_1LC1LB_0LC1RD_0RB0RD	EXP3	EXP3	Alph_00_01_1	no interior chain
1RB---_1LC1RB_0LB1RD_1LC0RD	HIGHER	HIGHER	Ip	no interior chain
1RB---_1LC1RB_1RA1LD_0RB0LC	-	no-anchor	-	no overflow phase at K=6
1RB---_1LC1RD_0LB1RD_1LB0RD	AFFINE	EXP2	Alph_01_11_011	no boot chain
1RB---_1LC1RD_0LB1RD_1LC0RD	HIGHER	HIGHER	Ip	no interior chain
1RB---_1LC1RD_0LC1RD_1LB0RD	HIGHER	HIGHER	Dp	no interior chain
1RB---_1LC1RD_1LB1RD_1LB0RD	-	no-anchor	-	no anchor
1RB---_1LC1RD_1LB1RD_1LC0RD	-	no-anchor	-	no anchor
1RB---_1RC1LB_0LB1RD_0RA0RC	-	no-anchor	-	no overflow phase at K=6
1RB---_1RC1LB_0LB1RD_1RA0RC	-	no-anchor	-	no overflow phase at K=6
1RB0LA_0RC1LD_1LB1RC_1LA0LB	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB0LA_1LC0RD_1LA1LB_0LB1RD	-	no-anchor	-	no overflow phase at K=6
