machine	interior	overflow	alphabet	blocker
1RB1LA_0LC1RD_1RA1RD_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_0LC1RD_1RB1LC_1LA0RB	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0RC1LD_1LB1RC_0LA0LB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_0RC1RD_1LB0LD_0LA0RB	AFFINE	EXP2	Alph_01_11_011	no interior chain
1RB1LA_0RC1RD_1LD0LB_0LA0RB	AFFINE	EXP2	Alph_01_11_011	no interior chain
1RB1LA_1LA1RC_0LD0RB_1RB1LD	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC0RB_0LC1RD_0RB0LA	AFFINE	AFFINE	Kp	no visit witness for state A (StA is targeted
1RB1LA_1LC0RB_0LC1RD_0RB1LA	AFFINE	AFFINE	Kp	no visit witness for state A (StA is targeted
1RB1LA_1LC0RD_0RA0LC_0LA1RD	QUAD	QUAD	Kp	no interior chain
1RB1LA_1LC0RD_0RB0LC_0LA1RD	QUAD	QUAD	Kp	no interior chain
1RB1LA_1LC0RD_1LA1LB_0LB1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC0RD_1LA1LB_0LC1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC0RD_1RA1LB_0LB1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC0RD_1RA1LB_0LC1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RB_0RB1LD_0RA0LC	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_1LC1RD_0RC1RA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1LA0LB_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1LA0LC_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1LA0RA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1LA0RB_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1LA0RC_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1LA0RD_0LA0RB	-	no-anchor	-	no overflow phase at K=6
