machine	quiet_state	s	n	t
0RB---_0RC0LD_0LD1RC_1LB1RB	A	0	2	256
0RB---_0RC0LD_0LD1RD_1RC1LB	A	0	2	256
0RB---_0RC0LD_1LB1RC_0RC1LD	A	0	2	1024
0RB---_0RC0LD_1LB1RC_0RC1RC	A	0	2	1024
0RB---_0RC0LD_1LB1RC_1LC1LD	A	0	2	256
0RB---_0RC0LD_1LB1RC_1RD1RC	A	0	2	256
0RB---_0RC0LD_1LD1RB_1LB1LB	A	0	2	256
0RB---_0RC0LD_1LD1RB_1LB1RB	A	0	2	256
0RB---_0RC0LD_1LD1RC_1RC1LB	A	0	2	256
0RB---_0RC0LD_1RD0RC_1LB0RC	A	0	3	64
0RB---_0RC0LD_1RD1LC_1LB0RC	A	0	3	64
0RB---_0RC0LD_1RD1RB_1LB---	A	0	3	256
0RB---_0RC0LD_1RD1RC_1LB1LD	A	0	2	256
0RB---_0RC0RD_0LD1RB_1LB1LC	A	0	2	64
0RB---_0RC0RD_1LB1RC_---1LC	A	0	2	1024
0RB---_0RC0RD_1LB1RC_1LB1LD	A	0	2	1024
0RB---_0RC0RD_1RD1RC_1LB1LD	A	0	2	256
0RB---_0RC1LB_0LD1RC_1LB1RB	A	0	2	256
0RB---_0RC1LB_1LB1LD_1RC1RD	A	0	2	64
0RB---_0RC1LB_1LB1RD_1LC1RC	A	0	2	64
0RB---_0RC1LB_1LB1RD_1RC0LC	A	0	2	1024
0RB---_0RC1LB_1LB1RD_1RC1RC	A	0	2	256
0RB---_0RC1LB_1LB1RD_1RC1RD	A	0	2	256
0RB---_0RC1LB_1LD0LD_1RB---	A	0	2	64
0RB---_0RC1LB_1LD0RD_1RB1RD	A	0	2	256
0RB---_0RC1LB_1LD1RC_0RB0LB	A	0	2	1024
0RB---_0RC1LB_1LD1RC_0RC0LB	A	0	2	1024
0RB---_0RC1LB_1LD1RC_1LA1RB	A	4	2	256
0RB---_0RC1LB_1LD1RC_1LB1RB	A	0	2	256
0RB---_0RC1LB_1LD1RC_1LB1RD	A	0	2	64
0RB---_0RC1LB_1LD1RC_1RB0LB	A	0	2	1024
0RB---_0RC1LB_1LD1RC_1RB1LD	A	0	2	256
0RB---_0RC1LB_1LD1RC_1RB1RB	A	0	2	256
0RB---_0RC1LB_1LD1RC_1RC1LB	A	0	2	64
0RB---_0RC1LB_1LD1RC_1RC1RB	A	0	2	256
0RB---_0RC1LB_1LD1RD_1LB1RC	A	0	2	64
0RB---_0RC1LB_1LD1RD_1RB1RD	A	0	2	64
0RB---_0RC1LB_1RD0LB_1LB1RC	A	0	2	256
0RB---_0RC1LB_1RD0LB_1LB1RD	A	0	2	256
0RB---_0RC1LB_1RD1LC_1LB1RD	A	0	2	256
0RB---_0RC1LB_1RD1LD_0LB0RC	A	0	2	256
0RB---_0RC1LB_1RD1LD_0LB1RD	A	0	2	256
0RB---_0RC1LB_1RD1RC_1LB---	A	0	2	256
0RB---_0RC1LB_1RD1RC_1LD1LB	A	0	2	256
0RB---_0RC1LB_1RD1RC_1LD1RB	A	0	2	64
0RB---_0RC1LB_1RD1RD_1LB1RC	A	0	2	256
0RB---_0RC1LC_0RD1LC_1LB1RD	A	0	2	64
0RB---_0RC1LC_1LB0RD_1RC1RC	A	0	2	256
0RB---_0RC1LC_1LB1RD_0LB0RC	A	0	2	256
0RB---_0RC1LC_1LB1RD_0LB0RD	A	0	2	256
0RB---_0RC1LC_1LB1RD_1LB0RC	A	0	2	1024
0RB---_0RC1LC_1LD0LD_1RB1LD	A	0	2	1024
0RB---_0RC1LC_1LD1RC_0RC0RB	A	0	2	1024
0RB---_0RC1LC_1LD1RC_1LB0RB	A	0	2	256
0RB---_0RC1LC_1LD1RC_1RB0RB	A	0	2	256
0RB---_0RC1LC_1LD1RC_1RB1LD	A	0	2	1024
0RB---_0RC1LC_1LD1RC_1RC0RB	A	0	2	1024
0RB---_0RC1LC_1RD0LB_0LB1RC	A	0	2	1024
0RB---_0RC1LC_1RD0LB_1LB1RC	A	0	2	64
0RB---_0RC1LC_1RD0LB_1LC1RC	A	0	3	256
0RB---_0RC1LC_1RD0LB_1LD1RC	A	0	2	1024
0RB---_0RC1LC_1RD1LC_1LB1RD	A	0	2	64
0RB---_0RC1LD_0LD1RB_1LB1LC	A	0	2	64
0RB---_0RC1LD_0LD1RD_1LB0RC	A	0	2	64
0RB---_0RC1LD_0RD0RB_1LC1RD	A	0	2	1024
0RB---_0RC1LD_0RD1RD_1LB0RC	A	0	2	64
0RB---_0RC1LD_1LB1RC_0LB0LB	A	0	2	1024
0RB---_0RC1LD_1LB1RC_0LB0RB	A	0	2	256
0RB---_0RC1LD_1LB1RC_0LB1LB	A	0	2	1024
0RB---_0RC1LD_1LB1RC_0LB1LD	A	0	2	1024
0RB---_0RC1LD_1LB1RC_0RC0LD	A	0	2	1024
0RB---_0RC1LD_1LB1RC_1LB0RB	A	0	2	64
0RB---_0RC1LD_1LB1RC_1LB1LB	A	0	2	1024
0RB---_0RC1LD_1LB1RC_1LB1LD	A	0	2	1024
0RB---_0RC1LD_1LB1RC_1LC1LB	A	0	2	64
0RB---_0RC1LD_1LB1RC_1LC1LD	A	0	2	256
0RB---_0RC1LD_1LB1RC_1RB1LB	A	0	2	1024
0RB---_0RC1LD_1LB1RC_1RC0LB	A	0	2	1024
0RB---_0RC1LD_1LB1RC_1RC1LB	A	0	2	64
0RB---_0RC1LD_1LB1RC_1RC1LD	A	0	2	64
0RB---_0RC1LD_1LB1RD_0LB0RC	A	0	2	1024
0RB---_0RC1LD_1LB1RD_0LB0RD	A	0	2	1024
0RB---_0RC1LD_1LB1RD_1LB0RC	A	0	2	1024
0RB---_0RC1LD_1LD0LD_1RB1LB	A	0	2	64
0RB---_0RC1LD_1LD1RC_1LB0RB	A	0	2	256
0RB---_0RC1LD_1LD1RC_1LB1LB	A	0	2	1024
0RB---_0RC1LD_1LD1RC_1RB1LB	A	0	2	256
0RB---_0RC1LD_1LD1RC_1RC1LB	A	0	2	64
0RB---_0RC1LD_1LD1RD_1LB0RC	A	0	2	1024
0RB---_0RC1LD_1RD---_0LB0RC	A	0	2	1024
0RB---_0RC1LD_1RD---_0LB0RD	A	0	2	64
0RB---_0RC1LD_1RD0LB_1LB0RC	A	0	2	1024
0RB---_0RC1LD_1RD0LB_1LB0RD	A	0	2	64
0RB---_0RC1LD_1RD0RB_1LC1RD	A	0	2	256
0RB---_0RC1LD_1RD1RB_0LB0LC	A	0	2	256
0RB---_0RC1LD_1RD1RB_0LB1RC	A	0	2	64
0RB---_0RC1LD_1RD1RC_1LB0RB	A	0	2	256
0RB---_0RC1LD_1RD1RC_1LB1LB	A	0	2	64
0RB---_0RC1LD_1RD1RC_1LB1LD	A	0	2	64
0RB---_0RC1LD_1RD1RD_1LB0RC	A	0	2	256
0RB---_0RC1LD_1RD1RD_1LB0RD	A	0	2	256
0RB---_0RC1RB_0LD1LB_1RC1LD	A	0	2	256
0RB---_0RC1RB_0LD1RB_1RC1LD	A	0	2	1024
0RB---_0RC1RB_1RD0LD_1LC0LB	A	0	3	64
0RB---_0RC1RC_0LD1RB_1RC1LD	A	0	2	1024
0RB---_0RC1RC_1LD0RB_0RB1LC	A	0	2	1024
0RB---_0RC1RC_1LD0RB_1LB1LC	A	0	2	1024
0RB---_0RC1RC_1LD0RB_1RD1LC	A	0	2	1024
0RB---_0RC1RC_1LD1RB_1LB0LB	A	0	2	256
0RB---_0RC1RC_1LD1RB_1LB1LD	A	0	2	1024
0RB---_0RC1RC_1LD1RB_1RB0LB	A	0	2	1024
0RB---_0RC1RC_1LD1RB_1RB1LD	A	0	2	64
0RB---_0RC1RC_1LD1RC_0RB0LB	A	0	2	1024
0RB---_0RC1RC_1LD1RC_0RC0LB	A	0	2	1024
0RB---_0RC1RC_1LD1RC_1LB0LB	A	0	2	256
0RB---_0RC1RC_1LD1RC_1RB0LB	A	0	2	1024
0RB---_0RC1RC_1LD1RC_1RB1LD	A	0	2	64
0RB---_0RC1RC_1LD1RC_1RC0LB	A	0	2	1024
0RB---_0RC1RC_1RD1LC_0LC0LB	A	0	2	1024
0RB---_0RC1RC_1RD1LC_1LB0LB	A	0	2	256
0RB---_0RC1RC_1RD1LC_1LB1RD	A	0	2	1024
0RB---_0RC1RC_1RD1LC_1LC0LB	A	0	2	1024
