machine	theorem	file
1RB0RD_1RC1LB_0LB1RD_0LA0RC	nqh_1RB0RD_1RC1LB_0LB1RD_0LA0RC	theories/Machines/Counters/ILC_1RB0RD_1RC1LB_0LB1RD_0LA0RC.v
1RB1LA_0LA1RC_0RD0RB_0LD1RA	nqh_1RB1LA_0LA1RC_0RD0RB_0LD1RA	theories/Machines/Counters/ILC_1RB1LA_0LA1RC_0RD0RB_0LD1RA.v
1RB1LA_0LA1RC_1LD0RB_0LA1RD	nqh_1RB1LA_0LA1RC_1LD0RB_0LA1RD	theories/Machines/Counters/ILC_1RB1LA_0LA1RC_1LD0RB_0LA1RD.v
1RB1LA_0LA1RC_1RD0RB_0LA---	nqh_1RB1LA_0LA1RC_1RD0RB_0LA___	theories/Machines/Counters/ILC_1RB1LA_0LA1RC_1RD0RB_0LA___.v
1RB1RB_1RC1LB_0LB1RD_0LA0RC	nqh_1RB1RB_1RC1LB_0LB1RD_0LA0RC	theories/Machines/Counters/ILC_1RB1RB_1RC1LB_0LB1RD_0LA0RC.v
1RB1RD_1LC0LB_1RA1LC_0RD1LB	nqh_1RB1RD_1LC0LB_1RA1LC_0RD1LB	theories/Machines/Counters/ILD_1RB1RD_1LC0LB_1RA1LC_0RD1LB.v
1RB0LD_0LC1LA_0RC1LA_1RC0LD	nqh_1RB0LD_0LC1LA_0RC1LA_1RC0LD	theories/Machines/Counters/ILK_1RB0LD_0LC1LA_0RC1LA_1RC0LD.v
1RB0LD_1RC0RC_1LA1RB_0LC0LD	nqh_1RB0LD_1RC0RC_1LA1RB_0LC0LD	theories/Machines/Counters/BCtr_11.v
1RB0RB_1LC1RA_1RA0LD_0LB0LD	nqh_1RB0RB_1LC1RA_1RA0LD_0LB0LD	theories/Machines/Counters/BCtr_13.v
1RB---_1RC0RB_0LC0RD_1LD1LB	iqh_1RB_1RC0RB_0LC0RD_1LD1LB	theories/Machines/Counters/WrapBc_R.v
1RB---_1LC0LB_0RC0LD_1RD1RB	iqh_1RB_1LC0LB_0RC0LD_1RD1RB	theories/Machines/Counters/WrapBc_L.v
1RB1LC_1LC1RD_1LA0LC_0RD0RB	nqh_1RB1LC_1LC1RD_1LA0LC_0RD0RB	theories/Machines/Counters/BCtr_28.v
1RB1RA_0RC0RB_1LC1LD_0RA0LA	nqh_1RB1RA_0RC0RB_1LC1LD_0RA0LA	theories/Machines/Counters/Bnc3.v
