machine	quiet_state	s	n	t
0RB---_0RC1RB_0RD0RB_1LC1RD	A	0	2	64
0RB---_0RC1RB_0RD1RB_1LC1RD	A	0	2	64
0RB---_0RC1RB_0RD1RD_1LB---	A	0	2	64
0RB---_0RC1RB_0RD1RD_1LC1LB	A	0	2	64
0RB---_0RC1RB_1LB1LD_0RD1RC	A	0	2	64
0RB---_0RC1RB_1LB1LD_1RD1RC	A	0	2	64
0RB---_0RC1RB_1LD0LB_0RD1RC	A	0	2	64
0RB---_0RC1RB_1LD0LB_1RD1RC	A	0	2	64
0RB---_0RC1RB_1LD1LB_0RD1RC	A	0	2	64
0RB---_0RC1RB_1LD1LB_1RD1RC	A	0	2	64
0RB---_0RC1RB_1LD1RC_1RC1LB	A	0	2	1024
0RB---_0RC1RB_1RD0RD_1LC1LB	A	0	2	64
0RB---_0RC1RC_0RD0RB_1LC1RD	A	0	2	64
0RB---_0RC1RC_0RD1RB_1LC1RD	A	0	2	64
0RB---_0RC1RC_1LB1LD_0RB1RD	A	0	2	64
0RB---_0RC1RC_1LB1LD_1RB0RD	A	0	2	64
0RB---_0RC1RC_1LB1LD_1RB1RD	A	0	2	64
0RB---_0RC1RC_1LD0LD_1RB0RC	A	0	2	64
0RB---_0RC1RC_1LD0RB_0RB0LB	A	0	2	64
0RB---_0RC1RC_1LD0RB_0RB1LD	A	0	2	1024
0RB---_0RC1RC_1LD0RB_1LB1RC	A	0	2	256
0RB---_0RC1RC_1LD0RB_1LB1RD	A	0	2	64
0RB---_0RC1RC_1LD0RB_1RB1LC	A	0	2	1024
0RB---_0RC1RC_1LD0RC_0RB1RC	A	0	2	64
0RB---_0RC1RC_1LD0RC_1RB0RC	A	0	2	64
0RB---_0RC1RC_1LD0RC_1RB1RC	A	0	2	64
0RB---_0RC1RC_1LD1RB_0RB0LB	A	0	2	64
0RB---_0RC1RC_1LD1RB_0RB0LD	A	0	2	1024
0RB---_0RC1RC_1LD1RB_0RB1LD	A	0	2	1024
0RB---_0RC1RC_1LD1RB_1LB0RC	A	0	2	256
0RB---_0RC1RC_1LD1RB_1LB0RD	A	0	2	64
0RB---_0RC1RC_1LD1RB_1LB1RC	A	0	2	256
0RB---_0RC1RC_1LD1RB_1LB1RD	A	0	2	64
0RB---_0RC1RC_1LD1RB_1RB0LC	A	0	2	1024
0RB---_0RC1RC_1LD1RB_1RB1LC	A	0	2	1024
0RB---_0RC1RD_0LD1RB_1LB0RB	A	0	2	64
0RB---_0RC1RD_0LD1RD_1LB0RD	A	0	2	64
0RB---_0RC1RD_0RD1RD_1LB0RB	A	0	2	64
0RB---_0RC1RD_0RD1RD_1LB0RC	A	0	2	64
0RB---_0RC1RD_0RD1RD_1LB0RD	A	0	2	64
0RB---_0RC1RD_0RD1RD_1LB1RB	A	0	2	64
0RB---_0RC1RD_0RD1RD_1LB1RC	A	0	2	64
0RB---_0RC1RD_1LA1RD_1LB0RD	A	3	2	64
0RB---_0RC1RD_1LB1RC_---0RC	A	0	2	64
0RB---_0RC1RD_1LB1RC_0RB0LB	A	0	2	64
0RB---_0RC1RD_1LB1RC_0RC0LB	A	0	2	64
0RB---_0RC1RD_1LB1RC_1RB0LB	A	0	2	64
0RB---_0RC1RD_1LB1RD_1LB0RD	A	0	2	64
0RB---_0RC1RD_1LD1RC_1LB0RB	A	0	2	64
0RB---_0RC1RD_1LD1RD_1LB0RD	A	0	2	64
0RB---_0RC1RD_1RD0LB_1LB0RD	A	0	2	64
0RB---_0RC1RD_1RD0RB_1LB0RD	A	0	2	64
0RB---_0RC1RD_1RD0RC_1LB0RD	A	0	2	64
0RB---_0RC1RD_1RD1RB_1LB0RD	A	0	2	64
0RB---_0RC1RD_1RD1RC_1LB0RD	A	0	2	64
0RB---_0RC1RD_1RD1RD_1LB0RD	A	0	2	64
0RB---_1LA0LC_0LD1LB_1RC1LD	A	2	2	64
0RB---_1LA0LC_0LD1LC_1RC1LD	B	3	2	64
0RB---_1LA0LC_0RD1RC_1LC1RD	B	3	2	64
0RB---_1LA0LC_1LD0LD_1RD1LC	B	3	2	64
0RB---_1LA0LC_1LD0RC_0RD1RC	B	3	2	64
0RB---_1LA0LC_1LD0RC_1RD1RC	B	3	2	64
0RB---_1LA0LC_1LD1RC_0RC1RD	B	3	2	64
0RB---_1LA0LC_1RD0LC_0LD1LC	B	3	2	64
