# spec	rung	verdict	seconds  (tools/closeouttr/ng_batch.py probe)
0RB1LC_1LA1RB_0RC0LD_0RB1LA	rk:7:0	true	1.5
0RB1LC_1LC0RD_1LA1RB_1RC0LC	ng:4:0	false	1.0
0RB1LC_1LC0RD_1LA1RB_1RC0LC	ng:5:0	false	0.8
0RB1LC_1LC0RD_1LA1RB_1RC0LC	ng:6:0	false	0.8
0RB1LC_1LC0RD_1LA1RB_1RC0LC	rk:4:0	true	0.9
0RB1LC_1LC0RD_1LA1RB_1RC0LC	rk:4:1024	true	0.9
0RB1LC_1LC0RD_1LA1RB_1RC0LC	rk:4:64	true	0.9
0RB1LC_1LC0RD_1LA1RB_1RC0LC	rk:5:0	true	0.8
0RB1LC_1LC0RD_1LA1RB_1RC0LC	rk:5:64	true	0.8
0RB1LC_1LC0RD_1LA1RB_1RC0LC	rk:6:0	true	1.0
0RB1LC_1LC0RD_1LA1RB_1RC0LC	rk:7:0	true	1.1
0RB1LC_1RC1RB_1LA0RD_0LD0LA	ng:4:0	false	1.0
0RB1LC_1RC1RB_1LA0RD_0LD0LA	ng:5:0	false	1.1
0RB1LC_1RC1RB_1LA0RD_0LD0LA	ng:6:0	false	0.8
0RB1LC_1RC1RB_1LA0RD_0LD0LA	rk:4:0	false	1.2
0RB1LC_1RC1RB_1LA0RD_0LD0LA	rk:4:1024	false	1.3
0RB1LC_1RC1RB_1LA0RD_0LD0LA	rk:4:64	false	1.4
0RB1LC_1RC1RB_1LA0RD_0LD0LA	rk:5:0	false	2.0
0RB1LC_1RC1RB_1LA0RD_0LD0LA	rk:5:64	false	2.0
0RB1LC_1RC1RB_1LA0RD_0LD0LA	rk:6:0	false	3.5
0RB1LC_1RC1RB_1LA0RD_0LD0LA	rk:7:0	false	6.8
0RB1LD_1LA1RC_1RD0LB_1LC0RC	ng:4:0	false	0.8
0RB1LD_1LA1RC_1RD0LB_1LC0RC	ng:5:0	false	0.8
0RB1LD_1LA1RC_1RD0LB_1LC0RC	ng:6:0	false	0.8
0RB1LD_1LA1RC_1RD0LB_1LC0RC	rk:4:0	true	0.8
0RB1LD_1LA1RC_1RD0LB_1LC0RC	rk:4:1024	true	0.7
0RB1LD_1LA1RC_1RD0LB_1LC0RC	rk:4:64	true	0.7
0RB1LD_1LA1RC_1RD0LB_1LC0RC	rk:5:0	true	0.8
0RB1LD_1LA1RC_1RD0LB_1LC0RC	rk:5:64	true	0.8
0RB1LD_1LA1RC_1RD0LB_1LC0RC	rk:6:0	true	0.8
0RB1LD_1LA1RC_1RD0LB_1LC0RC	rk:7:0	true	0.9
0RB1LD_1LC1RB_0RB1LA_0RD0LA	ng:4:0	false	0.9
0RB1LD_1LC1RB_0RB1LA_0RD0LA	ng:5:0	false	0.9
0RB1LD_1LC1RB_0RB1LA_0RD0LA	ng:6:0	false	0.8
0RB1LD_1LC1RB_0RB1LA_0RD0LA	rk:4:0	true	0.9
0RB1LD_1LC1RB_0RB1LA_0RD0LA	rk:4:1024	true	0.8
0RB1LD_1LC1RB_0RB1LA_0RD0LA	rk:4:64	true	0.8
0RB1LD_1LC1RB_0RB1LA_0RD0LA	rk:5:0	true	1.0
0RB1LD_1LC1RB_0RB1LA_0RD0LA	rk:5:64	true	0.9
0RB1LD_1LC1RB_0RB1LA_0RD0LA	rk:6:0	true	1.2
0RB1LD_1LC1RB_0RB1LA_0RD0LA	rk:7:0	true	1.7
0RB1LD_1RC0LA_1LA1RA_1RA0LD	ng:4:0	false	1.0
0RB1LD_1RC0LA_1LA1RA_1RA0LD	ng:5:0	false	1.5
0RB1LD_1RC0LA_1LA1RA_1RA0LD	ng:6:0	false	1.8
0RB1LD_1RC0LA_1LA1RA_1RA0LD	rk:4:0	false	3.4
0RB1LD_1RC0LA_1LA1RA_1RA0LD	rk:4:1024	false	3.5
0RB1LD_1RC0LA_1LA1RA_1RA0LD	rk:4:64	false	3.4
0RB1LD_1RC0LA_1LA1RA_1RA0LD	rk:5:0	false	19.4
0RB1LD_1RC0LA_1LA1RA_1RA0LD	rk:5:64	false	15.6
0RB1LD_1RC0LA_1LA1RA_1RA0LD	rk:6:0	false	92.0
0RB1LD_1RC0LA_1LA1RA_1RA0LD	rk:7:0	timeout	300.1
0RB1LD_1RC1RB_1LC1LA_0RB0LD	ng:4:0	false	1.0
0RB1LD_1RC1RB_1LC1LA_0RB0LD	ng:5:0	false	0.9
0RB1LD_1RC1RB_1LC1LA_0RB0LD	ng:6:0	false	0.9
0RB1LD_1RC1RB_1LC1LA_0RB0LD	rk:4:0	true	0.8
0RB1LD_1RC1RB_1LC1LA_0RB0LD	rk:4:1024	true	0.8
0RB1LD_1RC1RB_1LC1LA_0RB0LD	rk:4:64	true	0.8
0RB1LD_1RC1RB_1LC1LA_0RB0LD	rk:5:0	true	1.0
0RB1LD_1RC1RB_1LC1LA_0RB0LD	rk:5:64	true	1.1
0RB1LD_1RC1RB_1LC1LA_0RB0LD	rk:6:0	true	1.4
0RB1LD_1RC1RB_1LC1LA_0RB0LD	rk:7:0	true	2.3
0RB1RA_1LC1LD_1LD0LC_0RA0LC	ng:4:0	false	1.3
0RB1RA_1LC1LD_1LD0LC_0RA0LC	ng:5:0	false	2.1
0RB1RA_1LC1LD_1LD0LC_0RA0LC	ng:6:0	false	4.5
0RB1RA_1LC1LD_1LD0LC_0RA0LC	rk:4:0	false	5.5
0RB1RA_1LC1LD_1LD0LC_0RA0LC	rk:4:1024	false	4.9
0RB1RA_1LC1LD_1LD0LC_0RA0LC	rk:4:64	false	5.0
0RB1RA_1LC1LD_1LD0LC_0RA0LC	rk:5:0	false	28.9
0RB1RA_1LC1LD_1LD0LC_0RA0LC	rk:5:64	false	28.8
0RB1RA_1LC1LD_1LD0LC_0RA0LC	rk:6:0	false	218.8
0RB1RA_1LC1LD_1LD0LC_0RA0LC	rk:7:0	timeout	300.2
0RB1RB_1LC0RA_0LD0LC_1RD1LB	ng:4:0	false	1.5
0RB1RB_1LC0RA_0LD0LC_1RD1LB	ng:5:0	false	2.7
0RB1RB_1LC0RA_0LD0LC_1RD1LB	ng:6:0	false	6.6
0RB1RB_1LC0RA_0LD0LC_1RD1LB	rk:4:0	false	20.3
0RB1RB_1LC0RA_0LD0LC_1RD1LB	rk:4:1024	false	20.4
0RB1RB_1LC0RA_0LD0LC_1RD1LB	rk:4:64	false	20.6
0RB1RB_1LC0RA_0LD0LC_1RD1LB	rk:5:0	false	128.7
0RB1RB_1LC0RA_0LD0LC_1RD1LB	rk:5:64	false	132.2
0RB1RB_1LC0RA_0LD0LC_1RD1LB	rk:6:0	timeout	300.1
0RB1RB_1LC0RA_0LD0LC_1RD1LB	rk:7:0	timeout	300.1
0RB1RC_1LC0LA_0LD0RA_1RC1LD	ng:4:0	false	0.9
0RB1RC_1LC0LA_0LD0RA_1RC1LD	ng:5:0	false	0.9
0RB1RC_1LC0LA_0LD0RA_1RC1LD	ng:6:0	false	1.2
0RB1RC_1LC0LA_0LD0RA_1RC1LD	rk:4:0	true	0.9
0RB1RC_1LC0LA_0LD0RA_1RC1LD	rk:4:1024	true	0.8
0RB1RC_1LC0LA_0LD0RA_1RC1LD	rk:4:64	true	0.8
0RB1RC_1LC0LA_0LD0RA_1RC1LD	rk:5:0	true	1.1
0RB1RC_1LC0LA_0LD0RA_1RC1LD	rk:5:64	true	1.1
0RB1RC_1LC0LA_0LD0RA_1RC1LD	rk:6:0	true	1.7
0RB1RC_1LC0LA_0LD0RA_1RC1LD	rk:7:0	true	3.2
0RB1RD_1LC1RD_1LA0LC_1RA1LC	ng:4:0	false	1.0
0RB1RD_1LC1RD_1LA0LC_1RA1LC	ng:5:0	false	1.5
0RB1RD_1LC1RD_1LA0LC_1RA1LC	ng:6:0	false	3.2
0RB1RD_1LC1RD_1LA0LC_1RA1LC	rk:4:0	false	4.4
0RB1RD_1LC1RD_1LA0LC_1RA1LC	rk:4:1024	false	4.3
0RB1RD_1LC1RD_1LA0LC_1RA1LC	rk:4:64	false	4.4
0RB1RD_1LC1RD_1LA0LC_1RA1LC	rk:5:0	false	24.3
0RB1RD_1LC1RD_1LA0LC_1RA1LC	rk:5:64	false	23.1
0RB1RD_1LC1RD_1LA0LC_1RA1LC	rk:6:0	false	174.7
