census_machine	upstream_tnf	cert_family	list	nstates_after	dropped
0RB1LD_1LC1RB_1RD1RD_1LA0RC	1RB1LA_1LC1LC_1RD0LB_0LA1RC	certs_rank	C	4	0
0RB1LD_1LC1RC_1RD0LB_1LA0RC	1RB1LB_1LC0RA_1RD0LB_0LA1RC	certs_rank	C	4	0
0RB1LD_1LC1RD_1RD0LB_1LA0RC	1RB1LC_1LC0RA_1RD0LB_0LA1RC	certs_rank	C	4	0
0RB1LD_1RC0RC_1LA1RA_1RA0LD	1RB0RB_1LC1RC_0RA1LD_1RC0LD	(holdout)	C	4	0
0RB1LD_1RC1RB_1LA0RD_1LA1RC	1RB1RA_1LC0RD_0RA1LD_1LC1RB	certs_v6res90	C	4	0
0RB1LD_1RC1RB_1LC1RD_1LA0RC	1RB1RA_1LB1RC_1LD0RB_0RA1LC	certs_rank	C	4	0
0RB1LD_1RC1RB_1LD1RD_1LA0RC	1RB1RA_1LC1RC_1LD0RB_0RA1LC	certs_rank	C	4	0
0RB1LD_1RC1RB_1RD1RD_1LA0RC	1RB1RA_1RC1RC_1LD0RB_0RA1LC	certs_rank	C	4	0
0RB1RA_1LC1RB_1LD1LC_0RA0RB	1RB1LA_1RC1RB_0LD0LA_0LA1LD	certs_irules	C	4	0
0RB1RA_1LC1RB_1LD1LC_1RA0RB	1RB1LA_1RC1RB_1LD0LA_0LA1LD	certs_irules	C	4	0
0RB1RA_1LC1RC_1LD0RB_0RA1LC	1RB1LB_1RC0LA_0LD1RB_0LA1LD	certs_rank	C	4	0
0RB1RA_1LC1RC_1LD0RB_1RA1LC	1RB1LB_1RC0LA_1LD1RB_0LA1LD	certs_rank	C	4	0
0RB1RA_1RC1LD_1LD0RB_1RA0LC	1RB1LC_1LC0RA_1RD0LB_0RA1RD	certs_modclass	C	4	0
0RB1RA_1RC1RC_1LD0RB_0RA1LC	1RB1RB_1LC0RA_0RD1LB_0RA1RD	certs_rank	C	4	0
0RB1RA_1RC1RC_1LD0RB_1RA1LC	1RB1RB_1LC0RA_1RD1LB_0RA1RD	certs_rank	C	4	0
0RB1RC_1LA1RB_0LD0RC_1LD0LA	1RB1LA_0LA1LC_0RD0LC_1RD0RB	certs_fuel	C	4	0
0RB1RC_1LA1RB_0RD0RC_1LD1LA	1RB1LA_0LA1LC_0LD0LC_1RD1RB	certs_irules	C	4	0
0RB1RC_1LA1RB_1LD0RC_1LD1LA	1RB1LA_0LA1LC_1RD0LC_1RD1RB	certs_irules	C	4	0
0RB1RC_1RC0LB_0RD0RC_1LD1LA	1RB0LA_0RC0RB_1LC1LD_0RA1RB	certs_irules	C	4	0
0RB1RC_1RC1RB_0RD0RC_1LD1LA	1RB1RA_0RC0RB_1LC1LD_0RA1RB	certs_irules	C	4	0
0RB1RC_1RC1RB_1LD0RC_1LC1LA	1RB1RA_1LC0RB_1LB1LD_0RA1RB	certs_v7res46	C	4	0
0RB1RC_1RC1RB_1LD0RC_1LD1LA	1RB1RA_1LC0RB_1LC1LD_0RA1RB	certs_irules	C	4	0
0RB1RD_1RC---_1LD0RB_1RA0LC	1RB---_1LC0RA_1RD0LB_0RA1RC	certs_rank	C	4	0
0RB1RD_1RC1RB_1LC1LA_0RC0RD	1RB1RA_1LB1LC_0RA1RD_0RB0RD	certs_irules	C	4	0
0RB1RD_1RC1RB_1LC1LA_1LC0RD	1RB1RA_1LB1LC_0RA1RD_1LB0RD	certs_irules	C	4	0
