census_machine	upstream_tnf	upstream_status	cert_family	list	mode	nstates_after	dropped
0RB---_0LC1LC_1RD0LD_1LB0RB	1RB0LB_1LC0RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD0LD_1LB1RB	1RB0LB_1LC1RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD0LD_1LB1RD	1RB0LB_1LC1RB_---1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD0RC_0LB1RC	1RB0RA_0LC1RA_---1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD1LC_0LB1RD	1RB1LA_0LC1RB_---1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD1LD_0LB0RB	1RB1LB_0LC0RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD1LD_0LB1RB	1RB1LB_0LC1RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD1LD_1LB1RB	1RB1LB_1LC1RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC1LD_1LD1RC_1RC1LB	1RB1LA_1LA1RC_---1RB	none		B	reroot	3	1
0RB---_0LC1LD_1RB1LC_0LC1RD	1RB1LA_0LA1LC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1LD_1RB1LD_1RC0LD	1RB1LC_0LA1LC_1RA0LC	none		B	reroot	3	1
0RB---_0LC1LD_1RD1LC_0LC0RB	1RB1LA_0LA0RC_0LA1LB	none		B	reroot	3	1
0RB---_0LC1RA_1RB0LD_1LA1LC	1RB0LC_0LA1RD_1LD1LA_0RB---	none		C	reroot	4	0
0RB---_0LC1RB_0LD0RA_1RA1LC	1RB1LD_0RC---_0LD1RC_0LA0RB	none		C	reroot	4	0
0RB---_0LC1RB_0LD1LD_1RB0LC	1RB0LC_0LC1RB_0LA1LA	none		B	reroot	3	1
0RB---_0LC1RB_0LD1LD_1RB1LC	1RB1LC_0LC1RB_0LA1LA	none		B	reroot	3	1
0RB---_0LC1RB_0LD1LD_1RB1LD	1RB1LA_0LC1RB_---1LA	none		B	reroot	3	1
0RB---_0LC1RB_0LD1RC_1RB1LD	1RB1LA_0LC1RB_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_0RD1LC_1RB1LD	1RB1LA_0LC1RB_0RA1LC	none		B	reroot	3	1
