machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
1RB1LC_1LA0LB_1RD0RD_1LB1RC,undecided,0,0,0,0,0,0,?,0
1RB1LC_1LA0LD_1RC1LB_0LC0LB,irules,199083,315,1,1,2,1,T,3
1RB1LC_1LA0RC_0RD0RB_1LD1RB,irules,199083,315,1,1,2,1,T,3
1RB1LC_1LA0RC_1LA0RD_0LA1RD,undecided,0,0,0,0,0,0,?,0
1RB1LC_1LA1LA_1RD0LC_0RD0RB,undecided,0,0,0,0,0,0,?,0
1RB1LC_1LA1RB_0RD1LA_1RA1LD,irules,199398,315,1,1,1,1,T,6
1RB1LC_1LA1RB_0RD1LA_1RA1RD,irules,198763,315,1,1,2,1,T,7
1RB1LC_1LA1RB_1LA0RD_0LC1RC,undecided,0,0,0,0,0,0,?,0
1RB1LC_1LA1RB_1LD1LA_0RD1RA,irules,198767,315,1,1,2,1,T,6
1RB1LC_1LA1RC_1LD0RD_1RB1LD,irules,199690,258,1,1,2,1,T,3
1RB1LC_1LA1RD_1LA0RD_0LA1RD,undecided,0,0,0,0,0,0,?,0
1RB1LC_1LB1RA_1RD1LA_1LC1RD,irules,199400,315,1,1,1,1,T,7
1RB1LC_1LC0LD_1RD0LD_1LA1RD,irules,199667,258,1,1,2,1,T,38
1RB1LC_1LC0RB_1RD0LD_1LA1RD,irules,198655,257,1,1,2,1,T,21
1RB1LC_1LC0RD_1LA1LB_0LB1RD,undecided,0,0,0,0,0,0,?,0
