# spec	class	quietest_last_fire_in_1e8 (-1: EDGE/HALT)
0RB0LA_1RC---_1LC1RD_1RB1LA	DN	99999988
0RB0LA_1RC---_1LD1RB_---0LA	DN	99999991
0RB0LA_1RC---_1LD1RD_1RB0LA	DN	99999990
0RB0LA_1RC---_1RD---_1LA1RB	DN	99999989
0RB0LA_1RC---_1RD---_1LA1RC	DN	99999990
0RB0LA_1RC---_1RD0LA_1LC1RB	DN	99999988
0RB0LA_1RC---_1RD1RB_1LA0LC	DN	99999987
0RB0LA_1RC0LA_0RD1RD_1LB1RB	DN	99999972
0RB0LA_1RC0LA_1LB1RD_1RB---	DN	99999990
0RB0LA_1RC0LA_1LB1RD_1RC---	DN	99999991
0RB0LA_1RC0LA_1LD1RD_1RB1LA	DN	99999989
0RB0LA_1RC0LA_1RD---_1LB1RB	DN	99999988
0RB0LA_1RC0LA_1RD---_1LB1RC	DN	99999990
0RB0LA_1RC0LC_1LA0RD_1LC0RD	DN	99999985
0RB0LA_1RC0LC_1LA1RD_0RC1RB	DN	99999975
0RB0LA_1RC0LC_1LA1RD_1LC0RD	DN	99999978
0RB0LA_1RC0LC_1LD0RC_1LA0LA	DN	99999975
0RB0LA_1RC0LC_1LD0RC_1LA1RC	DN	99999983
0RB0LA_1RC0LD_0RD1RB_1LA---	DN	99999990
0RB0LA_1RC0LD_0RD1RC_1LA1LD	DN	99999987
0RB0LA_1RC0LD_1LA0RC_1LD1RB	DN	99999987
0RB0LA_1RC0LD_1LA1RD_1LC0RD	DN	99999990
0RB0LA_1RC0LD_1LB1RB_0RB1LA	DN	99999968
0RB0LA_1RC0LD_1LD0RC_1LA0LA	QH	3
0RB0LA_1RC0LD_1LD0RC_1LA1LB	QH	3
0RB0LA_1RC0LD_1LD0RC_1LA1RC	QH	3
0RB0LA_1RC0LD_1RD1RB_1LD1LA	DN	99999991
0RB0LA_1RC0RC_0LD1RB_1LA1LD	DN	99999988
0RB0LA_1RC0RC_1LD0LD_1RB1LA	DN	99999991
0RB0LA_1RC0RC_1LD1LA_1LB1RD	DN	99999983
0RB0LA_1RC0RC_1LD1RB_1LA0LD	DN	99999990
0RB0LA_1RC0RC_1RD1RC_1LA1LD	DN	99999973
0RB0LA_1RC0RD_1LA1LC_1RB1LD	DN	99993539
0RB0LA_1RC0RD_1LA1LC_1RB1RD	DN	99999981
