machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
0RB0LA_1LC1RD_1LA0LB_1LA0RC,irules,74832,191,2,1,6,1,F,0
0RB0LA_1LC1RD_1LA0LB_1LD0RC,irules,132627,256,2,0,7,1,F,0
0RB0LA_1LC1RD_1LA0LB_1RA0RC,irules,127592,252,2,4,5,1,F,0
0RB0LA_1LC1RD_1LA0LB_1RC0RC,irules,72682,189,2,3,5,1,F,0
0RB0LA_1LC1RD_1LA0LC_0RC1RB,irules,199929,1885,1,1,1,0,F,0
0RB0LA_1LC1RD_1LA0LC_1RB0RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RD_1LA0RB_1RA0RC,irules,200000,2701,1,1,1,0,F,0
0RB0LA_1LC1RD_1LA1LC_0LB0RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RD_1LA1RB_1RA0RC,irules,195143,110,1,2,5,2,F,0
0RB0LA_1RC0LA_0RD1RD_1LB0RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LA_0RD1RD_1LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LA_0RD1RD_1LB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LA_0RD1RD_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LA_1LD1RD_1RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LA_1RD1RB_0LD1LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LA_1RD1RC_1LD1LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LC_0RD1RB_1LD0LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LC_1LA1RD_0RC1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LC_1LD0RC_1LA0LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LC_1LD0RC_1LA1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LC_1RD1RB_1LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LD_0RD1RC_1LA1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LD_1LA1RD_1LC0RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LD_1LB0RA_1RD1RC,irules,199987,2324,1,1,1,3,F,0
0RB0LA_1RC0LD_1LB1RB_0RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LD_1LD1RB_0RA1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LD_1RD0RA_1LB1LD,irules,199951,1029,1,1,1,2,F,0
0RB0LA_1RC0LD_1RD1RB_1LC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LD_1RD1RB_1LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0RA_1LD1RB_1LA1LC,irules,200000,2739,1,1,1,0,F,0
0RB0LA_1RC0RB_0LD1RA_1LB1LC,irules,199951,2467,1,1,1,0,F,0
0RB0LA_1RC0RC_0LD1RB_1LA1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0RC_1LC1LD_1RB1LA,irules,199937,627,1,1,1,3,F,0
0RB0LA_1RC0RC_1LD1RB_1LA0LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0RC_1RD1RC_1LA1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0RD_1LA1LC_1RB0LC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0RD_1LA1LC_1RB1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0RD_1LA1LC_1RB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0RD_1LA1LC_1RC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_0RD1RD_1LD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1LD0LA_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1LD1LD_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1LD1RB_0LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1LD1RB_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1LD1RC_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1LD1RD_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD0LA_1LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD0LA_1LB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD0LA_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD0LD_0LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD0LD_1LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD0RD_0LB0RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD0RD_0LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD0RD_0LB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD1LD_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD1RB_0LD1LC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD1RB_1LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD1RB_1LB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD1RB_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD1RC_0LB0RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD1RC_0LB1LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD1RC_0LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD1RC_0LB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD1RC_1LA1LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD1RD_1LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD1RD_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LB_0RD1RD_1LA0RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LB_0RD1RD_1LA1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LB_0RD1RD_1LA1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LB_1RD0RB_1LA1LD,irules,199566,119,1,1,7,2,F,0
0RB0LA_1RC1LC_0RD1RC_1LA1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LC_1LA1RD_0RC1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LC_1LA1RD_0RC1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LC_1LD0RA_1LB0LD,irules,200000,5404,1,1,1,0,F,0
0RB0LA_1RC1LD_0RD0LA_1LA0LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LD_0RD0RD_1LA0LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LD_1LB1RC_0RA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LD_1LB1RC_0RC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RA_0LD0RA_1LB1LC,irules,199239,157,1,1,6,1,F,0
0RB0LA_1RC1RA_0LD1RA_1LB1LC,irules,199239,157,1,1,6,1,F,0
