# spec	subclass	growth_exp_1e6_1e8	live_density_1e8	quiet_pins_1e8	qc_result
0RB0LC_1LC1RB_1RD1LA_0LC0LC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LC0LD	counter_new	0.073	sparse	D1@4	boarded
0RB0LC_1LC1RB_1RD1LA_0LC0RC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LC0RD	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LC1LA	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LC1LB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LC1LC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LC1LD	counter_new	0.073	sparse	D1@4	boarded
0RB0LC_1LC1RB_1RD1LA_0LC1RB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LC1RC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LC1RD	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LB0LA	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LB0LB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LB0LC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LB0RC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LB0RD	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LB1LA	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LB1LB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LB1LC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LB1RB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LB1RC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LB1RD	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LC0LA	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LC0LB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LC0LC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LC0RC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LC1LA	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LC1LB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LC1LC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LC1RB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LC1RC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1LC1RD	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1RB0LA	counter_new	0.073	sparse	D1@3	no overflow chain
0RB0LC_1LC1RB_1RD1LA_1RB0LB	counter_new	0.073	sparse	D1@3	no overflow chain
0RB0LC_1LC1RB_1RD1LA_1RB0LC	counter_new	0.073	sparse	D1@3	no overflow chain
0RB0LC_1LC1RB_1RD1LA_1RB0LD	counter_new	0.073	sparse	D1@4	no overflow chain
0RB0LC_1LC1RB_1RD1LA_1RB0RC	counter_new	0.073	sparse	D1@3	no overflow chain
0RB0LC_1LC1RB_1RD1LA_1RB0RD	counter_new	0.073	sparse	D1@3	no overflow chain
0RB0LC_1LC1RB_1RD1LA_1RB1LA	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1RB1LB	counter_new	0.073	sparse	D1@3	no overflow chain
0RB0LC_1LC1RB_1RD1LA_1RB1LC	counter_new	0.073	sparse	D1@3	no overflow chain
0RB0LC_1LC1RB_1RD1LA_1RB1LD	counter_new	0.073	sparse	D1@4	boarded
0RB0LC_1LC1RB_1RD1LA_1RB1RB	counter_new	0.073	sparse	D1@3	no overflow chain
0RB0LC_1LC1RB_1RD1LA_1RB1RC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1RB1RD	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1RC0LB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1RC0LC	counter_new	0.073	sparse	D1@3	boarded
