machine,list,wave4_status,mxdys_status,mxdys_decider,match_kind
0RB0LA_1LA1RC_1LB1RD_1RB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LA1RC_1LC1RD_---1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LA1RC_1LD---_1RB1RD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_3_3_1600,direct
0RB0LA_1LA1RC_1LD1RB_0RB1LD,listC,unboarded,,,no-match
0RB0LA_1LA1RC_1LD1RB_0RC1LD,listC,unboarded,,,no-match
0RB0LA_1LA1RC_1RB---_------,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LA1RC_1RD---_0LD1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_3_3_1600,direct
0RB0LA_1LA1RC_1RD---_1LA1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LA1RC_1RD---_1LA1RC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LA1RC_1RD---_1RB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LA1RC_1RD1RB_1LB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_3_3_1600,direct
0RB0LA_1LC---_0RD1LA_1RB1RD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_4_2_2_600,direct
0RB0LA_1LC0LC_0RD1LA_1RD1RB,listC,unboarded,,,no-match
0RB0LA_1LC0RA_1LD---_1RB0LC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LC0RC_1LA1RD_0RB1RC,listC,unboarded,,,no-match
0RB0LA_1LC0RC_1LA1RD_1RB1RC,listC,unboarded,,,no-match
0RB0LA_1LC0RC_1LA1RD_1RC---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LC1LD_0RD1RC_1LA1RB,listC,unboarded,,,no-match
0RB0LA_1LC1LD_1RD0RD_1LA0RC,listC,drift,,,no-match
0RB0LA_1LC1RB_0RB1LD_0RA0LC,listC,unboarded,,,no-match
0RB0LA_1LC1RB_0RD0LC_1RD1LA,listC,fuel,,,no-match
0RB0LA_1LC1RD_0LD1LA_0RD1RB,listC,unboarded,,,no-match
0RB0LA_1LC1RD_0RB0LA_1RB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LC1RD_0RB1LC_1LA1RB,listC,unboarded,,,no-match
0RB0LA_1LC1RD_0RC1LA_1RB1RC,listC,unboarded,,,no-match
0RB0LA_1LC1RD_0RD0LC_1RB1LA,listC,unboarded,,,no-match
0RB0LA_1LC1RD_0RD1LA_---1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LC1RD_0RD1LC_1LA1RB,listC,unboarded,,,no-match
0RB0LA_1RC---_0LC1RD_1LA1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_3_3_1600,direct
0RB0LA_1RC---_0LD1RB_1LA1RD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC---_1LA0LD_1RB1RD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC---_1LA1LD_1RB1RD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_3_3_1600,direct
0RB0LA_1RC---_1LA1RB_------,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC---_1LA1RD_0LD1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC---_1LA1RD_1LA1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC---_1LA1RD_1LC1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC---_1LA1RD_1RB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC---_1LA1RD_1RC---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC---_1LC1RD_1RB1LA,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_3_3_1600,direct
0RB0LA_1RC---_1LD1RB_---0LA,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC---_1LD1RD_1RB0LA,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC---_1RD---_1LA1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC---_1RD---_1LA1RC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC---_1RD0LA_1LC1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC---_1RD1RB_1LA0LC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC0LA_1LB1RD_1RB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC0LA_1LB1RD_1RC---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC0LA_1RD---_1LB1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC0LA_1RD---_1LB1RC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC0LC_1LA0RD_1LC0RD,listC,drift,,,no-match
0RB0LA_1RC0LC_1LA1RD_1LC0RD,listC,drift,,,no-match
0RB0LA_1RC0LD_0RD1RB_1LA---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC0LD_1LA0RC_1LD1RB,listC,fuel,,,no-match
0RB0LA_1RC0LD_1LD0RC_1LA0LA,listC,drift,,,no-match
0RB0LA_1RC0LD_1LD0RC_1LA1LB,listC,drift,,,no-match
0RB0LA_1RC0LD_1LD0RC_1LA1RC,listC,drift,,,no-match
