machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
0RB0LB_1LC1RA_0LD0LC_1RD1LB,undecided,0,0,0,0,0,0,?,0
0RB0LB_1LC1RD_0RD0LC_1RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_0LC0LA_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_0LC0LC_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_0LC1LB_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_0LC1LC_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_0LC1LD_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_0LC1RD_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_0RC0LC_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_0RC1LC_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_0RC1LD_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_0RC1RD_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LA0LC_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LA1LC_0LD0LC_1RD1LA,irules,199715,631,1,2,1,0,T,4
0RB0LC_1LA1LC_0RD0LA_1RD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LA1LC_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LA1LC_1RD0LC_0RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LA1LC_1RD0LC_1RD1LA,irules,199812,446,1,1,1,0,T,4
0RB0LC_1LA1LC_1RD0RD_0LA1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LA1RB_0LD0LC_1RD1LA,irules,199083,630,1,2,1,0,T,5
0RB0LC_1LA1RB_0LD0LC_1RD1LC,irules,199083,630,1,2,1,0,T,6
0RB0LC_1LA1RB_0RC1LD_1RC0LD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LA1RB_0RD0LA_1RD1LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LA1RB_0RD0LA_1RD1LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LA1RB_0RD0LA_1RD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LA1RB_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LA1RB_1RC1LD_0LC0LD,irules,199716,631,1,2,1,0,T,6
0RB0LC_1LA1RB_1RC1LD_1RC0LD,irules,199811,446,1,1,1,0,T,6
